-2,  15,  98.401
-3.657,  16.121,  98.401
-5.306,  17.252,  98.301
-6.945,  18.398,  98.301
-8.567,  19.568,  98.211
-10.179,  20.752,  98.136
-11.779,  21.952,  98.084
-13.361,  23.175,  98.084
-14.929,  24.417,  98.065
-16.482,  25.677,  98.09
-18.02,  26.956,  98.173
-19.542,  28.252,  98.33
-21.05,  29.566,  98.58
-22.545,  30.895,  98.942
-24.028,  32.237,  99.434
-25.504,  33.586,  99.923
-26.979,  34.937,  99.115
-28.461,  36.28,  96.984
-29.96,  37.604,  95.684
-31.488,  38.895,  94.147
-33.064,  40.125,  91.41
-34.694,  41.283,  90.148
-36.399,  42.329,  88.487
-38.167,  43.262,  87.474
-40.005,  44.05,  84.521
-41.889,  44.718,  81.461
-43.817,  45.248,  78.282
-45.771,  45.675,  74.968
-47.742,  46.012,  71.5
-49.725,  46.27,  67.855
-51.716,  46.463,  64.002
-53.711,  46.6,  59.903
-55.709,  46.691,  55.501
-57.708,  46.746,  50.718
-59.708,  46.77,  45.435
-61.708,  46.77,  39.451
-63.707,  46.748,  32.379
-65.707,  46.7,  23.246
-67.833,  46.639,  0
-67.833,  46.639,  0
-87.825,  46.062,  0
